"Notes"	"Age Group"	"Age Group Code"	"Race"	"Race Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"55-64 years"	"55-64"	"White"	"2106-3"	"Female"	"F"	"1984"	"1984"	90561	10422781	868.9
	"55-64 years"	"55-64"	"White"	"2106-3"	"Female"	"F"	"1985"	"1985"	90199	10377680	869.2
	"55-64 years"	"55-64"	"White"	"2106-3"	"Female"	"F"	"1986"	"1986"	88322	10277575	859.4
	"55-64 years"	"55-64"	"White"	"2106-3"	"Female"	"F"	"1987"	"1987"	86566	10120665	855.3
	"55-64 years"	"55-64"	"White"	"2106-3"	"Female"	"F"	"1988"	"1988"	85595	9967865	858.7
	"55-64 years"	"55-64"	"White"	"2106-3"	"Female"	"F"	"1989"	"1989"	82017	9793451	837.5
	"55-64 years"	"55-64"	"White"	"2106-3"	"Female"	"F"	"1990"	"1990"	79784	9698092	822.7
	"55-64 years"	"55-64"	"White"	"2106-3"	"Female"	"F"	"1991"	"1991"	78783	9604393	820.3
	"55-64 years"	"55-64"	"White"	"2106-3"	"Female"	"F"	"1992"	"1992"	75927	9530399	796.7
	"55-64 years"	"55-64"	"White"	"2106-3"	"Female"	"F"	"1993"	"1993"	76680	9494874	807.6
	"55-64 years"	"55-64"	"White"	"2106-3"	"Female"	"F"	"1994"	"1994"	74988	9513437	788.2
	"55-64 years"	"55-64"	"White"	"2106-3"	"Female"	"F"	"1995"	"1995"	74796	9548153	783.4
	"55-64 years"	"55-64"	"White"	"2106-3"	"Female"	"F"	"1996"	"1996"	74453	9632190	773.0
	"55-64 years"	"55-64"	"White"	"2106-3"	"Female"	"F"	"1997"	"1997"	74544	9825384	758.7
	"55-64 years"	"55-64"	"White"	"2106-3"	"Female"	"F"	"1998"	"1998"	74901	10217829	733.0
"Total"	"55-64 years"	"55-64"	"White"	"2106-3"	"Female"	"F"			1658242	199828338	829.8
	"55-64 years"	"55-64"	"White"	"2106-3"	"Male"	"M"	"1979"	"1979"	157162	9061000	1734.5
	"55-64 years"	"55-64"	"White"	"2106-3"	"Male"	"M"	"1980"	"1980"	158172	9150710	1728.5
	"55-64 years"	"55-64"	"White"	"2106-3"	"Male"	"M"	"1981"	"1981"	156104	9223754	1692.4
	"55-64 years"	"55-64"	"White"	"2106-3"	"Male"	"M"	"1982"	"1982"	153614	9261705	1658.6
	"55-64 years"	"55-64"	"White"	"2106-3"	"Male"	"M"	"1983"	"1983"	153252	9288966	1649.8
	"55-64 years"	"55-64"	"White"	"2106-3"	"Male"	"M"	"1984"	"1984"	152066	9302273	1634.7
	"55-64 years"	"55-64"	"White"	"2106-3"	"Male"	"M"	"1985"	"1985"	151038	9289997	1625.8
	"55-64 years"	"55-64"	"White"	"2106-3"	"Male"	"M"	"1986"	"1986"	146145	9213135	1586.3
	"55-64 years"	"55-64"	"White"	"2106-3"	"Male"	"M"	"1987"	"1987"	142548	9097260	1566.9
	"55-64 years"	"55-64"	"White"	"2106-3"	"Male"	"M"	"1988"	"1988"	139051	8989694	1546.8
	"55-64 years"	"55-64"	"White"	"2106-3"	"Male"	"M"	"1989"	"1989"	133418	8869925	1504.2
	"55-64 years"	"55-64"	"White"	"2106-3"	"Male"	"M"	"1990"	"1990"	129313	8813361	1467.2
	"55-64 years"	"55-64"	"White"	"2106-3"	"Male"	"M"	"1991"	"1991"	126510	8785613	1440.0
	"55-64 years"	"55-64"	"White"	"2106-3"	"Male"	"M"	"1992"	"1992"	122036	8759001	1393.3
	"55-64 years"	"55-64"	"White"	"2106-3"	"Male"	"M"	"1993"	"1993"	121556	8760053	1387.6
	"55-64 years"	"55-64"	"White"	"2106-3"	"Male"	"M"	"1994"	"1994"	119328	8805026	1355.2
	"55-64 years"	"55-64"	"White"	"2106-3"	"Male"	"M"	"1995"	"1995"	116820	8854364	1319.3
	"55-64 years"	"55-64"	"White"	"2106-3"	"Male"	"M"	"1996"	"1996"	115688	8960022	1291.2
	"55-64 years"	"55-64"	"White"	"2106-3"	"Male"	"M"	"1997"	"1997"	113303	9165665	1236.2
	"55-64 years"	"55-64"	"White"	"2106-3"	"Male"	"M"	"1998"	"1998"	114411	9562185	1196.5
"Total"	"55-64 years"	"55-64"	"White"	"2106-3"	"Male"	"M"			2721535	181213709	1501.8
"Total"	"55-64 years"	"55-64"	"White"	"2106-3"					4379777	381042047	1149.4
"Total"	"55-64 years"	"55-64"							5177536	421954132	1227.0
	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Female"	"F"	"1979"	"1979"	22326	766000	2914.6
	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Female"	"F"	"1980"	"1980"	23728	776085	3057.4
	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Female"	"F"	"1981"	"1981"	23086	793300	2910.1
	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Female"	"F"	"1982"	"1982"	22847	805162	2837.6
	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Female"	"F"	"1983"	"1983"	24148	815375	2961.6
	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Female"	"F"	"1984"	"1984"	24219	824415	2937.7
	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Female"	"F"	"1985"	"1985"	24722	833262	2966.9
	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Female"	"F"	"1986"	"1986"	24816	843590	2941.7
	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Female"	"F"	"1987"	"1987"	25037	853516	2933.4
	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Female"	"F"	"1988"	"1988"	25472	864317	2947.1
	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Female"	"F"	"1989"	"1989"	25719	875768	2936.7
	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Female"	"F"	"1990"	"1990"	25337	884151	2865.7
	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Female"	"F"	"1991"	"1991"	25830	898586	2874.5
	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Female"	"F"	"1992"	"1992"	25609	909778	2814.9
	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Female"	"F"	"1993"	"1993"	26451	922065	2868.7
	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Female"	"F"	"1994"	"1994"	26320	930883	2827.4
	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Female"	"F"	"1995"	"1995"	26638	938798	2837.5
	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Female"	"F"	"1996"	"1996"	26508	946248	2801.4
	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Female"	"F"	"1997"	"1997"	26241	952122	2756.1
	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Female"	"F"	"1998"	"1998"	26333	959603	2744.2
"Total"	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Female"	"F"			501387	17393024	2882.7
	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Male"	"M"	"1979"	"1979"	27731	564000	4916.8
	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Male"	"M"	"1980"	"1980"	29095	567030	5131.1
	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Male"	"M"	"1981"	"1981"	28663	572173	5009.5
	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Male"	"M"	"1982"	"1982"	28678	575871	4979.9
	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Male"	"M"	"1983"	"1983"	29399	579219	5075.6
	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Male"	"M"	"1984"	"1984"	29637	582068	5091.7
	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Male"	"M"	"1985"	"1985"	30310	585861	5173.6
	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Male"	"M"	"1986"	"1986"	30320	590592	5133.8
	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Male"	"M"	"1987"	"1987"	30652	596075	5142.3
	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Male"	"M"	"1988"	"1988"	30989	601865	5148.8
	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Male"	"M"	"1989"	"1989"	31240	609404	5126.3
	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Male"	"M"	"1990"	"1990"	30350	613620	4946.1
	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Male"	"M"	"1991"	"1991"	30608	626334	4886.8
	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Male"	"M"	"1992"	"1992"	30526	636212	4798.1
	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Male"	"M"	"1993"	"1993"	31421	646875	4857.4
	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Male"	"M"	"1994"	"1994"	30935	653789	4731.6
	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Male"	"M"	"1995"	"1995"	31067	659910	4707.8
	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Male"	"M"	"1996"	"1996"	30241	665974	4540.9
	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Male"	"M"	"1997"	"1997"	29660	669735	4428.6
	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Male"	"M"	"1998"	"1998"	29274	674882	4337.6
"Total"	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Male"	"M"			600796	12271489	4895.9
"Total"	"65-74 years"	"65-74"	"Black or African American"	"2054-5"					1102183	29664513	3715.5
	"65-74 years"	"65-74"	"White"	"2106-3"	"Female"	"F"	"1979"	"1979"	156653	7841000	1997.9
	"65-74 years"	"65-74"	"White"	"2106-3"	"Female"	"F"	"1980"	"1980"	164322	7951329	2066.6
	"65-74 years"	"65-74"	"White"	"2106-3"	"Female"	"F"	"1981"	"1981"	164797	8097086	2035.3
	"65-74 years"	"65-74"	"White"	"2106-3"	"Female"	"F"	"1982"	"1982"	166225	8218917	2022.5
	"65-74 years"	"65-74"	"White"	"2106-3"	"Female"	"F"	"1983"	"1983"	169060	8341572	2026.7
	"65-74 years"	"65-74"	"White"	"2106-3"	"Female"	"F"	"1984"	"1984"	171340	8436935	2030.8
	"65-74 years"	"65-74"	"White"	"2106-3"	"Female"	"F"	"1985"	"1985"	173037	8536282	2027.1
	"65-74 years"	"65-74"	"White"	"2106-3"	"Female"	"F"	"1986"	"1986"	175897	8657219	2031.8
	"65-74 years"	"65-74"	"White"	"2106-3"	"Female"	"F"	"1987"	"1987"	175920	8785358	2002.4
	"65-74 years"	"65-74"	"White"	"2106-3"	"Female"	"F"	"1988"	"1988"	176975	8867364	1995.8
	"65-74 years"	"65-74"	"White"	"2106-3"	"Female"	"F"	"1989"	"1989"	174745	8967877	1948.6
	"65-74 years"	"65-74"	"White"	"2106-3"	"Female"	"F"	"1990"	"1990"	174036	9047655	1923.5
	"65-74 years"	"65-74"	"White"	"2106-3"	"Female"	"F"	"1991"	"1991"	174237	9131275	1908.1
	"65-74 years"	"65-74"	"White"	"2106-3"	"Female"	"F"	"1992"	"1992"	175205	9191380	1906.2
	"65-74 years"	"65-74"	"White"	"2106-3"	"Female"	"F"	"1993"	"1993"	178706	9249270	1932.1
	"65-74 years"	"65-74"	"White"	"2106-3"	"Female"	"F"	"1994"	"1994"	177848	9254450	1921.8
	"65-74 years"	"65-74"	"White"	"2106-3"	"Female"	"F"	"1995"	"1995"	176847	9243329	1913.2
	"65-74 years"	"65-74"	"White"	"2106-3"	"Female"	"F"	"1996"	"1996"	174564	9176514	1902.3
	"65-74 years"	"65-74"	"White"	"2106-3"	"Female"	"F"	"1997"	"1997"	170297	9056590	1880.4
	"65-74 years"	"65-74"	"White"	"2106-3"	"Female"	"F"	"1998"	"1998"	169360	8946339	1893.1
"Total"	"65-74 years"	"65-74"	"White"	"2106-3"	"Female"	"F"			3440071	174997741	1965.8
	"65-74 years"	"65-74"	"White"	"2106-3"	"Male"	"M"	"1979"	"1979"	239373	5997000	3991.5
	"65-74 years"	"65-74"	"White"	"2106-3"	"Male"	"M"	"1980"	"1980"	246004	6095750	4035.7
	"65-74 years"	"65-74"	"White"	"2106-3"	"Male"	"M"	"1981"	"1981"	244648	6215679	3936.0
	"65-74 years"	"65-74"	"White"	"2106-3"	"Male"	"M"	"1982"	"1982"	244362	6319634	3866.7
	"65-74 years"	"65-74"	"White"	"2106-3"	"Male"	"M"	"1983"	"1983"	247705	6434543	3849.6
	"65-74 years"	"65-74"	"White"	"2106-3"	"Male"	"M"	"1984"	"1984"	247154	6525084	3787.8
	"65-74 years"	"65-74"	"White"	"2106-3"	"Male"	"M"	"1985"	"1985"	249919	6627900	3770.7
	"65-74 years"	"65-74"	"White"	"2106-3"	"Male"	"M"	"1986"	"1986"	249926	6751344	3701.9
	"65-74 years"	"65-74"	"White"	"2106-3"	"Male"	"M"	"1987"	"1987"	249380	6877252	3626.2
	"65-74 years"	"65-74"	"White"	"2106-3"	"Male"	"M"	"1988"	"1988"	249661	6957923	3588.2
	"65-74 years"	"65-74"	"White"	"2106-3"	"Male"	"M"	"1989"	"1989"	243793	7055596	3455.3
	"65-74 years"	"65-74"	"White"	"2106-3"	"Male"	"M"	"1990"	"1990"	242167	7127336	3397.7
	"65-74 years"	"65-74"	"White"	"2106-3"	"Male"	"M"	"1991"	"1991"	241582	7237906	3337.7
	"65-74 years"	"65-74"	"White"	"2106-3"	"Male"	"M"	"1992"	"1992"	239700	7320803	3274.2
	"65-74 years"	"65-74"	"White"	"2106-3"	"Male"	"M"	"1993"	"1993"	244113	7417629	3291.0
	"65-74 years"	"65-74"	"White"	"2106-3"	"Male"	"M"	"1994"	"1994"	240904	7467287	3226.1
	"65-74 years"	"65-74"	"White"	"2106-3"	"Male"	"M"	"1995"	"1995"	238477	7515025	3173.3
	"65-74 years"	"65-74"	"White"	"2106-3"	"Male"	"M"	"1996"	"1996"	234310	7501795	3123.4
	"65-74 years"	"65-74"	"White"	"2106-3"	"Male"	"M"	"1997"	"1997"	229501	7447321	3081.7
	"65-74 years"	"65-74"	"White"	"2106-3"	"Male"	"M"	"1998"	"1998"	225304	7407048	3041.8
"Total"	"65-74 years"	"65-74"	"White"	"2106-3"	"Male"	"M"			4847983	138299855	3505.4
"Total"	"65-74 years"	"65-74"	"White"	"2106-3"					8288054	313297596	2645.4
"Total"	"65-74 years"	"65-74"							9390237	342962109	2738.0
	"75-84 years"	"75-84"	"Black or African American"	"2054-5"	"Female"	"F"	"1979"	"1979"	20140	360000	5594.4
	"75-84 years"	"75-84"	"Black or African American"	"2054-5"	"Female"	"F"	"1980"	"1980"	22371	360118	6212.1
	"75-84 years"	"75-84"	"Black or African American"	"2054-5"	"Female"	"F"	"1981"	"1981"	22241	376214	5911.8
	"75-84 years"	"75-84"	"Black or African American"	"2054-5"	"Female"	"F"	"1982"	"1982"	22834	389855	5857.0
	"75-84 years"	"75-84"	"Black or African American"	"2054-5"	"Female"	"F"	"1983"	"1983"	24137	403645	5979.8
	"75-84 years"	"75-84"	"Black or African American"	"2054-5"	"Female"	"F"	"1984"	"1984"	25231	417474	6043.7
	"75-84 years"	"75-84"	"Black or African American"	"2054-5"	"Female"	"F"	"1985"	"1985"	26196	431152	6075.8
	"75-84 years"	"75-84"	"Black or African American"	"2054-5"	"Female"	"F"	"1986"	"1986"	26440	445733	5931.8
	"75-84 years"	"75-84"	"Black or African American"	"2054-5"	"Female"	"F"	"1987"	"1987"	27164	460117	5903.7
	"75-84 years"	"75-84"	"Black or African American"	"2054-5"	"Female"	"F"	"1988"	"1988"	28399	473745	5994.6
	"75-84 years"	"75-84"	"Black or African American"	"2054-5"	"Female"	"F"	"1989"	"1989"	28821	486088	5929.2
	"75-84 years"	"75-84"	"Black or African American"	"2054-5"	"Female"	"F"	"1990"	"1990"	28144	494772	5688.3
	"75-84 years"	"75-84"	"Black or African American"	"2054-5"	"Female"	"F"	"1991"	"1991"	28765	505286	5692.8
	"75-84 years"	"75-84"	"Black or African American"	"2054-5"	"Female"	"F"	"1992"	"1992"	28100	514433	5462.3
	"75-84 years"	"75-84"	"Black or African American"	"2054-5"	"Female"	"F"	"1993"	"1993"	30262	522312	5793.9
	"75-84 years"	"75-84"	"Black or African American"	"2054-5"	"Female"	"F"	"1994"	"1994"	30095	532046	5656.5
	"75-84 years"	"75-84"	"Black or African American"	"2054-5"	"Female"	"F"	"1995"	"1995"	30742	542005	5671.9
	"75-84 years"	"75-84"	"Black or African American"	"2054-5"	"Female"	"F"	"1996"	"1996"	30905	553300	5585.6
	"75-84 years"	"75-84"	"Black or African American"	"2054-5"	"Female"	"F"	"1997"	"1997"	30856	565927	5452.3
	"75-84 years"	"75-84"	"Black or African American"	"2054-5"	"Female"	"F"	"1998"	"1998"	32099	573090	5601.0
"Total"	"75-84 years"	"75-84"	"Black or African American"	"2054-5"	"Female"	"F"			543942	9407312	5782.1
	"75-84 years"	"75-84"	"Black or African American"	"2054-5"	"Male"	"M"	"1979"	"1979"	19434	238000	8165.5
	"75-84 years"	"75-84"	"Black or African American"	"2054-5"	"Male"	"M"	"1980"	"1980"	21046	227979	9231.6
	"75-84 years"	"75-84"	"Black or African American"	"2054-5"	"Male"	"M"	"1981"	"1981"	20638	234990	8782.5
	"75-84 years"	"75-84"	"Black or African American"	"2054-5"	"Male"	"M"	"1982"	"1982"	20854	240902	8656.6
	"75-84 years"	"75-84"	"Black or African American"	"2054-5"	"Male"	"M"	"1983"	"1983"	22477	246537	9117.1
	"75-84 years"	"75-84"	"Black or African American"	"2054-5"	"Male"	"M"	"1984"	"1984"	22648	251375	9009.6
	"75-84 years"	"75-84"	"Black or African American"	"2054-5"	"Male"	"M"	"1985"	"1985"	23804	256858	9267.4
	"75-84 years"	"75-84"	"Black or African American"	"2054-5"	"Male"	"M"	"1986"	"1986"	24342	262030	9289.8
	"75-84 years"	"75-84"	"Black or African American"	"2054-5"	"Male"	"M"	"1987"	"1987"	24765	267168	9269.4
	"75-84 years"	"75-84"	"Black or African American"	"2054-5"	"Male"	"M"	"1988"	"1988"	25622	271379	9441.4
	"75-84 years"	"75-84"	"Black or African American"	"2054-5"	"Male"	"M"	"1989"	"1989"	25199	275069	9161.0
	"75-84 years"	"75-84"	"Black or African American"	"2054-5"	"Male"	"M"	"1990"	"1990"	25293	277046	9129.5
	"75-84 years"	"75-84"	"Black or African American"	"2054-5"	"Male"	"M"	"1991"	"1991"	25417	279775	9084.8
	"75-84 years"	"75-84"	"Black or African American"	"2054-5"	"Male"	"M"	"1992"	"1992"	25035	282979	8846.9
	"75-84 years"	"75-84"	"Black or African American"	"2054-5"	"Male"	"M"	"1993"	"1993"	25992	286392	9075.7
	"75-84 years"	"75-84"	"Black or African American"	"2054-5"	"Male"	"M"	"1994"	"1994"	26011	292086	8905.3
	"75-84 years"	"75-84"	"Black or African American"	"2054-5"	"Male"	"M"	"1995"	"1995"	26491	298927	8862.0
	"75-84 years"	"75-84"	"Black or African American"	"2054-5"	"Male"	"M"	"1996"	"1996"	26793	306365	8745.5
	"75-84 years"	"75-84"	"Black or African American"	"2054-5"	"Male"	"M"	"1997"	"1997"	26471	313869	8433.8
	"75-84 years"	"75-84"	"Black or African American"	"2054-5"	"Male"	"M"	"1998"	"1998"	27316	320358	8526.7
"Total"	"75-84 years"	"75-84"	"Black or African American"	"2054-5"	"Male"	"M"			485648	5430084	8943.7
"Total"	"75-84 years"	"75-84"	"Black or African American"	"2054-5"					1029590	14837396	6939.2
	"75-84 years"	"75-84"	"White"	"2106-3"	"Female"	"F"	"1979"	"1979"	229958	4373000	5258.6
	"75-84 years"	"75-84"	"White"	"2106-3"	"Female"	"F"	"1980"	"1980"	240748	4456907	5401.7
	"75-84 years"	"75-84"	"White"	"2106-3"	"Female"	"F"	"1981"	"1981"	238524	4598379	5187.1
	"75-84 years"	"75-84"	"White"	"2106-3"	"Female"	"F"	"1982"	"1982"	241773	4722252	5119.9
	"75-84 years"	"75-84"	"White"	"2106-3"	"Female"	"F"	"1983"	"1983"	248717	4848871	5129.4
	"75-84 years"	"75-84"	"White"	"2106-3"	"Female"	"F"	"1984"	"1984"	253556	4975913	5095.7
	"75-84 years"	"75-84"	"White"	"2106-3"	"Female"	"F"	"1985"	"1985"	260898	5104060	5111.6
	"75-84 years"	"75-84"	"White"	"2106-3"	"Female"	"F"	"1986"	"1986"	263913	5232039	5044.2
	"75-84 years"	"75-84"	"White"	"2106-3"	"Female"	"F"	"1987"	"1987"	268175	5362682	5000.8
	"75-84 years"	"75-84"	"White"	"2106-3"	"Female"	"F"	"1988"	"1988"	276417	5484072	5040.4
	"75-84 years"	"75-84"	"White"	"2106-3"	"Female"	"F"	"1989"	"1989"	275191	5604412	4910.3
	"75-84 years"	"75-84"	"White"	"2106-3"	"Female"	"F"	"1990"	"1990"	275219	5687364	4839.1
	"75-84 years"	"75-84"	"White"	"2106-3"	"Female"	"F"	"1991"	"1991"	276944	5844539	4738.5
	"75-84 years"	"75-84"	"White"	"2106-3"	"Female"	"F"	"1992"	"1992"	278839	5949314	4686.9
	"75-84 years"	"75-84"	"White"	"2106-3"	"Female"	"F"	"1993"	"1993"	290836	6044328	4811.7
	"75-84 years"	"75-84"	"White"	"2106-3"	"Female"	"F"	"1994"	"1994"	293381	6137562	4780.1
	"75-84 years"	"75-84"	"White"	"2106-3"	"Female"	"F"	"1995"	"1995"	297994	6240344	4775.3
	"75-84 years"	"75-84"	"White"	"2106-3"	"Female"	"F"	"1996"	"1996"	302756	6370429	4752.5
	"75-84 years"	"75-84"	"White"	"2106-3"	"Female"	"F"	"1997"	"1997"	305728	6496866	4705.8
	"75-84 years"	"75-84"	"White"	"2106-3"	"Female"	"F"	"1998"	"1998"	310588	6577689	4721.8
"Total"	"75-84 years"	"75-84"	"White"	"2106-3"	"Female"	"F"			5430155	110111022	4931.5
	"75-84 years"	"75-84"	"White"	"2106-3"	"Male"	"M"	"1979"	"1979"	220947	2562000	8624.0
	"75-84 years"	"75-84"	"White"	"2106-3"	"Male"	"M"	"1980"	"1980"	229619	2600489	8829.8
	"75-84 years"	"75-84"	"White"	"2106-3"	"Male"	"M"	"1981"	"1981"	229803	2681338	8570.5
	"75-84 years"	"75-84"	"White"	"2106-3"	"Male"	"M"	"1982"	"1982"	232737	2752822	8454.5
	"75-84 years"	"75-84"	"White"	"2106-3"	"Male"	"M"	"1983"	"1983"	241819	2826584	8555.2
	"75-84 years"	"75-84"	"White"	"2106-3"	"Male"	"M"	"1984"	"1984"	245060	2901739	8445.3
	"75-84 years"	"75-84"	"White"	"2106-3"	"Male"	"M"	"1985"	"1985"	253056	2981602	8487.2
	"75-84 years"	"75-84"	"White"	"2106-3"	"Male"	"M"	"1986"	"1986"	255423	3064558	8334.7
	"75-84 years"	"75-84"	"White"	"2106-3"	"Male"	"M"	"1987"	"1987"	259012	3154298	8211.4
	"75-84 years"	"75-84"	"White"	"2106-3"	"Male"	"M"	"1988"	"1988"	265737	3242321	8195.9
	"75-84 years"	"75-84"	"White"	"2106-3"	"Male"	"M"	"1989"	"1989"	263912	3335467	7912.3
	"75-84 years"	"75-84"	"White"	"2106-3"	"Male"	"M"	"1990"	"1990"	266510	3397245	7844.9
	"75-84 years"	"75-84"	"White"	"2106-3"	"Male"	"M"	"1991"	"1991"	269669	3532828	7633.2
	"75-84 years"	"75-84"	"White"	"2106-3"	"Male"	"M"	"1992"	"1992"	270906	3631259	7460.4
	"75-84 years"	"75-84"	"White"	"2106-3"	"Male"	"M"	"1993"	"1993"	283186	3722248	7607.9
	"75-84 years"	"75-84"	"White"	"2106-3"	"Male"	"M"	"1994"	"1994"	282619	3817180	7403.9
	"75-84 years"	"75-84"	"White"	"2106-3"	"Male"	"M"	"1995"	"1995"	288410	3925411	7347.3
	"75-84 years"	"75-84"	"White"	"2106-3"	"Male"	"M"	"1996"	"1996"	293662	4060777	7231.7
	"75-84 years"	"75-84"	"White"	"2106-3"	"Male"	"M"	"1997"	"1997"	297875	4185282	7117.2
	"75-84 years"	"75-84"	"White"	"2106-3"	"Male"	"M"	"1998"	"1998"	301593	4275840	7053.4
"Total"	"75-84 years"	"75-84"	"White"	"2106-3"	"Male"	"M"			5251555	66651288	7879.2
"Total"	"75-84 years"	"75-84"	"White"	"2106-3"					10681710	176762310	6043.0
"Total"	"75-84 years"	"75-84"							11711300	191599706	6112.4
	"85+ years"	"85+"	"Black or African American"	"2054-5"	"Female"	"F"	"1979"	"1979"	11422	104000	10982.7
	"85+ years"	"85+"	"Black or African American"	"2054-5"	"Female"	"F"	"1980"	"1980"	13115	106047	12367.2
	"85+ years"	"85+"	"Black or African American"	"2054-5"	"Female"	"F"	"1981"	"1981"	13365	112631	11866.2
	"85+ years"	"85+"	"Black or African American"	"2054-5"	"Female"	"F"	"1982"	"1982"	13409	118263	11338.3
	"85+ years"	"85+"	"Black or African American"	"2054-5"	"Female"	"F"	"1983"	"1983"	14615	123777	11807.5
	"85+ years"	"85+"	"Black or African American"	"2054-5"	"Female"	"F"	"1984"	"1984"	15214	129010	11792.9
	"85+ years"	"85+"	"Black or African American"	"2054-5"	"Female"	"F"	"1985"	"1985"	16895	133382	12666.6
	"85+ years"	"85+"	"Black or African American"	"2054-5"	"Female"	"F"	"1986"	"1986"	18140	138406	13106.4
	"85+ years"	"85+"	"Black or African American"	"2054-5"	"Female"	"F"	"1987"	"1987"	18716	143785	13016.7
	"85+ years"	"85+"	"Black or African American"	"2054-5"	"Female"	"F"	"1988"	"1988"	20057	148679	13490.1
	"85+ years"	"85+"	"Black or African American"	"2054-5"	"Female"	"F"	"1989"	"1989"	20669	153437	13470.7
	"85+ years"	"85+"	"Black or African American"	"2054-5"	"Female"	"F"	"1990"	"1990"	20811	156362	13309.5
	"85+ years"	"85+"	"Black or African American"	"2054-5"	"Female"	"F"	"1991"	"1991"	21612	167928	12869.8
	"85+ years"	"85+"	"Black or African American"	"2054-5"	"Female"	"F"	"1992"	"1992"	22210	177067	12543.3
	"85+ years"	"85+"	"Black or African American"	"2054-5"	"Female"	"F"	"1993"	"1993"	24340	185336	13132.9
	"85+ years"	"85+"	"Black or African American"	"2054-5"	"Female"	"F"	"1994"	"1994"	24778	192250	12888.4
	"85+ years"	"85+"	"Black or African American"	"2054-5"	"Female"	"F"	"1995"	"1995"	26252	200806	13073.3
	"85+ years"	"85+"	"Black or African American"	"2054-5"	"Female"	"F"	"1996"	"1996"	27194	208251	13058.3
	"85+ years"	"85+"	"Black or African American"	"2054-5"	"Female"	"F"	"1997"	"1997"	28348	213458	13280.4
	"85+ years"	"85+"	"Black or African American"	"2054-5"	"Female"	"F"	"1998"	"1998"	29377	221677	13252.2
"Total"	"85+ years"	"85+"	"Black or African American"	"2054-5"	"Female"	"F"			400539	3134552	12778.2
	"85+ years"	"85+"	"Black or African American"	"2054-5"	"Male"	"M"	"1979"	"1979"	7522	52000	14465.4
	"85+ years"	"85+"	"Black or African American"	"2054-5"	"Male"	"M"	"1980"	"1980"	8534	53010	16098.8
	"85+ years"	"85+"	"Black or African American"	"2054-5"	"Male"	"M"	"1981"	"1981"	8468	55547	15244.7
	"85+ years"	"85+"	"Black or African American"	"2054-5"	"Male"	"M"	"1982"	"1982"	8466	57732	14664.3
	"85+ years"	"85+"	"Black or African American"	"2054-5"	"Male"	"M"	"1983"	"1983"	8918	59885	14891.9
	"85+ years"	"85+"	"Black or African American"	"2054-5"	"Male"	"M"	"1984"	"1984"	9225	61202	15073.0
	"85+ years"	"85+"	"Black or African American"	"2054-5"	"Male"	"M"	"1985"	"1985"	9780	61966	15782.8
	"85+ years"	"85+"	"Black or African American"	"2054-5"	"Male"	"M"	"1986"	"1986"	10377	62917	16493.2
	"85+ years"	"85+"	"Black or African American"	"2054-5"	"Male"	"M"	"1987"	"1987"	10506	64391	16315.9
